governorate_id,city_name_ar,city_name_en,latitude,longitude,
1,الرحاب,El Rehab,30.063584,31.4889939,
1,كمبوند القطامية هايتس,Katameya Heights Compound,29.9921014,31.4046293,
1,أحياء النرجس,Nargess Districts,30.012,31.4566971,
1,أحياء أبو الهول,Abo El Hol Districts,29.9891175,31.4743323,
1,التجمع الأول,El Tagamoa El Awal,30.0632671,31.4544799,
1,أكاديمية الشرطة,Police Academy,30.0457492,31.4199545,
1,حى الشويفات,El Showeifat District,30.0111266,31.4114003,
1,أحياء اللوتس,Lotus Districts,30.0272531,31.506564,
1,مدينة القطامية,El Qattameya City,29.976194,31.4046992,
1,كمبوند هايد بارك داماك,Compound Hyde Park Damac,29.9865446,31.552985,
1,حى الديبلوماسيين,Diplomaseyeen District,29.9935379,31.4407265,
1,كومباوند قطامية ديونز,Kattameya Dunes Compound,30.0014688,31.5198459,
1,التجمع الثالث,El Tagamoa El Talet,29.9829885,31.4287093,
1,مدخل شروق 2 الاسماعلية,Sherouk 2 Ismalia,30.1852137,31.6252683,
1,العاصمة الإدارية الجديدة,New Administrative Capital,30.023829,31.7549459,
1,القاهرة الجديدة,New Cairo,30.0277688,31.4756825,
1,المعادى,Maadi,29.9796486,31.2547696,
2,الجيزة,Giza,29.9870753,31.2118063,
2,السادس من أكتوبر,6th of October,29.9723458,30.9409205,
2,القرية الذكية,Smart Village,30.0719412,31.0185288,
2,أبو النمرس,Abu An Numrus,29.9543038,31.2208503,
2,شبرمنت,Shabramant,29.9407683,31.1901228,
2,البدرشين,El Badrashein,29.8513253,31.2744094,
2,إمبابة,Imbaba,30.088512,31.215927,
2,الدقى,Dokki,30.0388955,31.2125563,
2,العجوزة,El Agouza,30.0549435,31.2127281,
2,بولاق الدكرور,Bulaq Al-Dakrour,30.0338799,31.1910129,
2,منشأة البكاري,Minshat Al Bekari,30.0163974,31.1404936,
2,ناهيا,Nahia,30.0483495,31.1264174,
2,بشتيل البلد,Bashteel Al-Balad,30.086827,31.1858122,
2,كفر الحكيم,Kafr Hakim,30.0819253,31.118006,
2,منصورية,Mansuriya,30.136573,31.0747473,
2,برقاش,Birqash,30.168338,31.042303,
2,نكلة,Nekla,30.1751552,31.0499423,
2,الشيخ زايد,Sheikh Zayed,30.048347,30.9832235,
2,منيل شيحا,Manial Shiha,29.9529555,31.2395844,
2,غمازه الكبرى,Ghamaza Al-Kubra,29.7081962,31.2996952,
2,قبلية,Qiblya,29.7290678,31.3034717,
2,دهشور,Dahshur,29.751277,31.240815,
2,برنشت,Berenshet,29.692983,31.2480202,
2,تهما,Tahma,29.6306352,31.2349788,
2,بهما,Bahma,29.5891453,31.2378971,
2,الفهميين,Al-Fahmyyin,29.5967581,31.2890521,
2,سقارة,Saqqara,29.850335,31.228284,
2,المنوات,Al-Manawat,29.9214777,31.2447635,
2,طموه,Tomouh,29.9359084,31.2641613,
2,سقيل,Saqeel,30.1331347,31.1668408,
2,طناش,Tanaash,30.1251429,31.1926195,
2,القبابات,Al-Qobabat,29.4643452,31.2718725,
2,الكداية,Al-Kedaya,29.4504473,31.2380597,
2,كيت كات,Kit Kat,30.0729087,31.2138138,
2,ميت عقبة,Meet Oqba,30.060336,31.1939999,
2,بين السرايات,Been Al-Sarayat,30.0321499,31.2018679,
2,حي الأشجار,Al-Ashgar Suburb,29.9542049,31.0678606,
2,الحاجر,Al Hagir,30.2833097,30.9119089,
2,ساقية مكي,Saqiyat Makki,29.9958878,31.2116844,
2,كفرة نصار,Kafrat Nassar,30,31.133333,
2,كفر طهرمس,Kafr Tuhurmis,30.0211378,31.1752711,
2,نزلة بهجت,Nazlet Bahgat,30.033333,31.183333,
2,كوم الأخضر,Kom al Akhdar,29.983333,31.15,
2,كرداسة,Kirdasah,30.0315846,31.111881,
2,نزلة البطران,Nazlet al Batran,29.9673738,31.1496685,
